ID,Expediente,Mercado,Motivo,FechaInicio,FechaResolucion,Decision,Recurso,IdSector,IdSubsector,IdRama,Amparo,Nulidad,Relacionados,PalabrasClave,Sector,Subsector,Rama,Rubro,Anio,Consecutivo,Empresas,FechaResolucionOrigen,SentidoResolucionOrigen,Efecto,FechaResolucionCNT,SentidoResolucion,Multa,Tipo,RutaGaceta,ExpedienteOrigen,FechaVPResolucionRA,SentidoVPResolucionRA,PalabrasClaveComplemento,docEmpresaAlias,FechaActualizacion,NoPresentada,Resumen,RutaNoPresentada,RutaResumen,RutaExtracto,RutaDictamen,RutaResolucion,RutaDesechamiento,RutaCierre,RutaPosicionamiento,Multa1,Mercado1,Tipo1,,,,,,,,,
10015,IEBC-004-2022,,BARRERAS A LA COMPETENCIA Y LIBRE CONCURRENCIA O INSUMOS ESENCIALES,,20/01/2026 00:00,ÓRDENES PARA ELIMINAR BARRERAS,,31,311,3112,,,,,Industrias manufactureras,Industria alimentaria,Molienda de granos y de semillas oleaginosas,IEBC,2022,4,,20/01/2026 00:00,,,20/01/2026 00:00,,,N/A,,,20/01/2026 00:00,,,,10/02/2026 14:15,,,,,,,Si,,,,0,,N/A,,,,,,,,,
10846,DE-001-2026,N/A,N/A,,19/01/2026 00:00,Desechamiento,,43,435,4354,,,,,Comercio al por mayor,"CMA maq., mob. y eq. agropec., indus. y serv.","CMA de maq., mobiliario y eq. de uso general",DE,2026,1,,19/01/2026 00:00,,,19/01/2026 00:00,,,N/A,,,19/01/2026 00:00,,,,16/04/2026 16:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10761,AI/DC-001-2020,,,,14/01/2026 00:00,ÓRDENES PARA ELIMINAR BARRERAS,,517,517,51,,,,,Otras telecomunicaciones,Otras telecomunicaciones,Información en medios masivos,IEBC,2020,1,,14/01/2026 00:00,,,14/01/2026 00:00,,,N/A,,,14/01/2026 00:00,,,,16/01/2026 10:15,,,,,,,Si,,,,0,,N/A,,,,,,,,,
10775,DE-023-2025,N/A,N/A,,12/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,23,,12/12/2025 00:00,,,12/12/2025 00:00,,,N/A,,,12/12/2025 00:00,,,,27/01/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10776,DE-024-2025,N/A,N/A,,12/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,24,,12/12/2025 00:00,,,12/12/2025 00:00,,,N/A,,,12/12/2025 00:00,,,,27/01/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10777,DE-025-2025,N/A,N/A,,12/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,25,,12/12/2025 00:00,,,12/12/2025 00:00,,,N/A,,,12/12/2025 00:00,,,,27/01/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10778,DE-026-2025,N/A,N/A,,12/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,26,,12/12/2025 00:00,,,12/12/2025 00:00,,,N/A,,,12/12/2025 00:00,,,,27/01/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
10779,DE-027-2025,N/A,N/A,,12/12/2025 00:00,No presentada,,0,0,0,,,,,,,,DE,2025,27,,12/12/2025 00:00,,,12/12/2025 00:00,,,N/A,,,12/12/2025 00:00,,,,27/01/2026 14:15,,,,,,,Si,,,,0,N/A,N/A,,,,,,,,,
9667,DE-013-2018,AUTOTRANSPORTE FEDERAL DE PASAJEROS CON ORIGEN O DESTINO EN EL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO Y SERVICIOS RELACIONADOS,56-V,,09/12/2025 00:00,Cierre,,48,485,4859,,,,,"Transportes, correos y almacenamiento","Transp. terr. pasajeros, exc. por ferrocarril",Otro transporte terrestre de pasajeros,DE,2018,13,,09/12/2025 00:00,,,09/12/2025 00:00,,,Práctica monopólica relativa,,,09/12/2025 00:00,,,,13/02/2026 11:15,,,,,,,Si,,,,0,AUTOTRANSPORTE FEDERAL DE PASAJEROS CON ORIGEN O DESTINO EN EL AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO Y SERVICIOS RELACIONADOS,PRÁCTICA MONOPÓLICA RELATIVA,,,,,,,,,
10737,DE-005-2025,N/A,N/A,,03/12/2025 00:00,Desechamiento,,43,434,4342,,,,,Comercio al por mayor,"CMA de materias primas agropec., industriales",CMA de materias primas para la industria,DE,2025,5,,03/12/2025 00:00,,,03/12/2025 00:00,,,N/A,,,03/12/2025 00:00,,,,03/12/2025 10:21,,,,,,,,,,,0,N/A,N/A,,,,,,,,,
